Curteis, Ranna, rcurteis0@army.mil, Pink, 1945-06-15
Tonkes, Arlie, atonkes1@nydailynews.com, Blue, 1949-02-18
Brissenden, Alfy, abrissenden2@cnet.com, Turquoise, 1932-05-09
Tant, Nerty, ntant3@cnbc.com, Aquamarine, 1922-11-24
Traynor, Gray, gtraynor4@jalbum.net, Crimson, 1968-02-05
Figure, Sven, sfigure5@cornell.edu, Purple, 1967-03-23
Cawthron, Hope, hcawthron6@jimdo.com, Mauve, 1995-04-18
Langmuir, Britney, blangmuir7@youku.com, Teal, 1975-04-19
Fossett, Ilka, ifossett8@microsoft.com, Maroon, 1923-06-13
Pithie, Tonye, tpithie9@mlb.com, Blue, 1916-08-22
Last, First, bar@bar.com, Yellow, 1901-11-12
